198,A003490,1,대한항공
199,A003495,1,대한항공우
200,A003520,1,영진약품
201,A003530,1,한화투자증권
202,A003535,1,한화투자증권우
203,A003540,1,대신증권
204,A003545,1,대신증권우
205,A003547,1,대신증권2우B
206,A003550,1,LG
207,A003555,1,LG우
208,A003560,1,IHQ
209,A003570,1,S&T중공업
210,A003580,1,동원
211,A003610,1,방림
212,A003620,1,쌍용차
213,A003650,1,미창석유
214,A003680,1,한성기업
215,A003690,1,코리안리
216,A003720,1,삼영화학
217,A003780,1,진양산업
218,A003830,1,대한화섬
219,A003850,1,보령제약
220,A003920,1,남양유업
221,A003925,1,남양유업우
222,A003960,1,사조대림
223,A004000,1,롯데정밀화학
224,A004020,1,현대제철
225,A004060,1,SG세계물산
226,A004080,1,신흥
227,A004090,1,한국석유
228,A004100,1,태양금속
229,A004105,1,태양금속우
230,A004130,1,대덕GDS
231,A004135,1,대덕GDS우
232,A004140,1,동방
233,A004150,1,한솔홀딩스
234,A004170,1,신세계
235,A004200,1,고려개발
236,A004250,1,NPC
237,A004255,1,NPC우
238,A004270,1,남성
239,A004310,1,현대약품
240,A004360,1,세방
241,A004365,1,세방우
242,A004370,1,농심
243,A004380,1,삼익THK
244,A004410,1,서울식품
245,A004415,1,서울식품우
246,A004430,1,송원산업
247,A004440,1,대림씨엔에스
248,A004450,1,삼화왕관
249,A004490,1,세방전지
250,A004540,1,깨끗한나라
251,A004545,1,깨끗한나라우
252,A004560,1,현대비앤지스틸
253,A004565,1,현대비앤지스틸우
254,A004690,1,삼천리
255,A004700,1,조광피혁
256,A004710,1,한솔테크닉스
257,A004720,1,우리들제약
258,A004770,1,써니전자
259,A004800,1,효성
260,A004830,1,덕성
261,A004835,1,덕성우
262,A004840,1,DRB동일
263,A004870,1,티웨이홀딩스
264,A004890,1,동일산업
265,A004910,1,조광페인트
266,A004920,1,씨아이테크
267,A004960,1,한신공영
268,A004970,1,신라교역
269,A004980,1,성신양회
270,A004985,1,성신양회우
271,A004987,1,성신양회2우B
272,A004989,1,성신양회3우B
273,A004990,1,롯데지주
274,A00499K,1,롯데지주우
275,A005010,1,휴스틸
276,A005030,1,부산주공
277,A005070,1,코스모신소재
278,A005090,1,삼광글라스
279,A005110,1,한창
280,A005180,1,빙그레
281,A005190,1,동성화학
282,A005250,1,녹십자홀딩스
283,A005257,1,녹십자홀딩스2우
284,A005300,1,롯데칠성
285,A005305,1,롯데칠성우
286,A005320,1,국동
287,A005360,1,모나미
288,A005380,1,현대차
289,A005385,1,현대차우
290,A005387,1,현대차2우B
291,A005389,1,현대차3우B
292,A005390,1,신성통상
293,A005420,1,코스모화학
294,A005430,1,한국공항
295,A005440,1,현대그린푸드
296,A005450,1,신한
297,A005490,1,POSCO
298,A005500,1,삼진제약
299,A005610,1,SPC삼립
300,A005680,1,삼영전자
301,A005690,1,파미셀
302,A005720,1,넥센
303,A005725,1,넥센우
304,A005740,1,크라운해태홀딩스
305,A005745,1,크라운해태홀딩스우
306,A005750,1,대림B&Co
307,A005800,1,신영와코루
308,A005810,1,풍산홀딩스
309,A005820,1,원림
310,A005830,1,DB손해보험
311,A005850,1,에스엘
312,A005870,1,휴니드
313,A005880,1,대한해운
314,A005930,1,삼성전자
315,A005935,1,삼성전자우
316,A005940,1,NH투자증권
317,A005945,1,NH투자증권우
318,A005950,1,이수화학
319,A005960,1,동부건설
320,A005965,1,동부건설우
321,A005980,1,성지건설
322,A006040,1,동원산업
323,A006060,1,화승인더
324,A006090,1,사조오양
325,A006110,1,삼아알미늄
326,A006120,1,SK디스커버리
327,A006125,1,SK디스커버리우
328,A006200,1,한국전자홀딩스
329,A006220,1,제주은행
330,A006260,1,LS
331,A006280,1,녹십자
332,A006340,1,대원전선
333,A006345,1,대원전선우
334,A006360,1,GS건설
335,A006370,1,대구백화점
336,A006380,1,카프로
337,A006390,1,현대시멘트
338,A006400,1,삼성SDI
339,A006405,1,삼성SDI우
340,A006490,1,인스코비
341,A006570,1,대림통상
342,A006650,1,대한유화
343,A006660,1,삼성공조
344,A006740,1,영풍제지
345,A006800,1,미래에셋대우
346,A006805,1,미래에셋대우우
347,A006840,1,AK홀딩스
348,A006880,1,신송홀딩스
349,A006890,1,태경화학
350,A006980,1,우성사료
351,A007070,1,GS리테일
352,A007110,1,일신석재
353,A007120,1,미래아이앤지
354,A007160,1,사조산업
355,A007210,1,벽산
356,A007280,1,한국특수형강
357,A007310,1,오뚜기
358,A007340,1,디티알오토모티브
359,A007460,1,에이프로젠KIC
360,A007540,1,샘표
361,A007570,1,일양약품
362,A007575,1,일양약품우
363,A007590,1,동방아그로
364,A007610,1,선도전기
365,A007630,1,암니스
366,A007660,1,이수페타시스
367,A007690,1,국도화학
368,A007700,1,F&F
369,A007810,1,코리아써키트
370,A007815,1,코리아써우
371,A00781K,1,코리아써키트2우B
372,A007860,1,서연
373,A007980,1,태평양물산
374,A008000,1,도레이케미칼
375,A008040,1,사조동아원
376,A008060,1,대덕전자
377,A008110,1,대동전자
378,A008250,1,이건산업
379,A008260,1,NI스틸
380,A008350,1,남선알미늄
381,A008355,1,남선알미우
382,A008420,1,문배철강
383,A008490,1,서흥
384,A008500,1,일정실업
385,A008560,1,메리츠종금증권
386,A008600,1,윌비스
387,A008700,1,아남전자
388,A008730,1,율촌화학
389,A008770,1,호텔신라
390,A008775,1,호텔신라우
391,A008870,1,금비
392,A008930,1,한미사이언스
393,A008970,1,동양철관
394,A009070,1,KCTC
395,A009140,1,경인전자
396,A009150,1,삼성전기
397,A009155,1,삼성전기우
398,A009160,1,SIMPAC
399,A009180,1,한솔로지스틱스
400,A009190,1,대양금속
401,A009200,1,무림페이퍼
402,A009240,1,한샘
403,A009270,1,신원
404,A009275,1,신원우
405,A009290,1,광동제약
406,A009310,1,참엔지니어링
407,A009320,1,대우부품
408,A009410,1,태영건설
409,A009415,1,태영건설우
410,A009420,1,한올바이오파마
411,A009440,1,KC그린홀딩스
412,A009450,1,경동나비엔
413,A009460,1,한창제지
414,A009470,1,삼화전기
415,A009540,1,현대중공업
416,A009580,1,무림P&P
417,A009680,1,모토닉
418,A009770,1,삼정펄프
419,A009810,1,엔케이물산
420,A009830,1,한화케미칼
421,A009835,1,한화케미칼우
422,A009970,1,영원무역홀딩스
423,A010040,1,한국내화
424,A010050,1,우리종금
425,A010060,1,OCI
426,A010100,1,한국프랜지
427,A010120,1,LS산전
428,A010130,1,고려아연
429,A010140,1,삼성중공업
430,A010145,1,삼성중공우
431,A010420,1,한솔PNS
432,A010580,1,지코
